Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Reliance Industries,https://scanx.trade/company/reliance-industries-ltd,"1,559.20",0.06%,"1,554.70","23,11,495","21,09,983.13",21.64,12.6,"1,581.30","1,114.85",1.52%,12.74%,27.52%,36.09%,72.25%,2.4,0.35%,8.54%,8.71%,101.61,"1,516.20","1,415.52",58.08,78.00%,91.00%
HDFC Bank,https://scanx.trade/company/hdfc-bank-ltd,992.1,-0.51%,996,"93,60,853","15,23,900.12",20.43,9.52,"1,020.50",812.15,-0.71%,4.32%,10.35%,21.77%,42.02%,2.85,1.10%,13.93%,6.38%,89.49,995.49,969.53,48.88,78.00%,91.00%
Bharti Airtel,https://scanx.trade/company/bharti-airtel-ltd,"2,105.40",-0.86%,"2,123.00","12,97,870","12,00,521.25",27.1,51.73,"2,174.50","1,559.50",-2.17%,9.03%,32.93%,159.61%,314.64%,10.28,0.73%,8.11%,18.01%,21.42,"2,086.49","1,920.62",51.65,78.00%,91.00%
Tata Consultancy Services,https://scanx.trade/company/tcs-tata-consultancy-services-ltd,"3,280.00",-1.18%,"3,313.10","11,76,664","11,86,732.71",24.18,33.59,"4,322.95","2,866.60",4.42%,8.06%,-21.52%,0.83%,12.74%,11.36,3.80%,50.48%,62.02%,131.54,"3,130.45","3,254.22",61.57,78.00%,91.00%
ICICI Bank,https://scanx.trade/company/icici-bank-ltd,"1,350.40",-0.69%,"1,356.50","28,12,144","9,64,614.49",17.06,9.52,"1,500.00","1,186.00",-1.32%,-2.34%,4.10%,51.19%,162.95%,2.95,0.81%,16.67%,6.13%,64.38,"1,371.00","1,394.91",41.66,78.00%,91.00%
State Bank of India,https://scanx.trade/company/state-bank-of-india-ltd,966.3,-0.27%,968.95,"32,86,321","8,91,954.58",10.67,9.74,999,680,-0.44%,11.56%,19.00%,61.83%,262.11%,1.65,1.59%,15.83%,5.57%,81.94,953.88,841.65,51.64,78.00%,91.00%
Infosys,https://scanx.trade/company/infosys-ltd,"1,656.10",-0.44%,"1,663.40","20,06,491","6,88,008.89",23.94,33.59,"1,982.80","1,307.00",6.98%,10.81%,-13.25%,10.23%,33.98%,7.1,2.65%,29.67%,35.85%,64.2,"1,548.70","1,538.75",64.41,78.00%,90.64%
Bajaj Finance,https://scanx.trade/company/bajaj-finance-ltd,"1,000.00",-1.16%,"1,011.70","52,11,460","6,22,248.19",34.01,-3.94,"1,102.50",679.2,0.60%,-2.89%,46.88%,55.43%,92.87%,6.12,0.55%,18.84%,10.98%,241.14,"1,032.23",947.69,43.64,76.00%,89.70%
Larsen & Toubro,https://scanx.trade/company/lt-larsen-toubro-ltd,"4,047.30",-0.16%,"4,052.00","5,94,330","5,56,728.78",29.15,14.23,"4,140.00","2,965.30",0.85%,10.17%,11.20%,93.55%,220.65%,5.5,0.84%,15.18%,18.71%,96.6,"3,991.12","3,643.37",53.85,76.00%,91.00%
LIC of India,https://scanx.trade/company/lic-of-india-ltd,849.75,-0.49%,850.1,"7,03,658","5,37,466.68",10.57,-3.94,980,715.3,-5.06%,-4.98%,-4.59%,23.51%,-2.91%,3.81,1.41%,49.36%,0.87%,66.13,886.12,875.58,37.25,76.00%,87.50%
Hindustan Unilever,https://scanx.trade/company/hindustan-unilever-ltd,"2,285.40",0.14%,"2,282.30","5,33,626","5,36,975.59",49.09,47.58,"2,705.09","2,101.12",-4.16%,-8.87%,-0.52%,-11.24%,-3.28%,11.01,2.32%,19.99%,23.38%,43.99,"2,388.20","2,381.84",39.13,78.00%,91.00%
Maruti Suzuki,https://scanx.trade/company/maruti-suzuki-ltd,"16,596.00",-0.64%,"16,703.00","2,12,925","5,21,782.51",35.54,39.55,"16,720.00","10,725.00",4.00%,2.14%,54.57%,101.00%,122.88%,5.27,0.81%,15.75%,19.54%,467.71,"16,104.66","13,850.45",60.22,78.00%,91.00%
